cruise,cast,niskin,replicate,vol_filtered,filter_size,fd_calibrated,tau_calibrated,rb,ra,blank,rb_blank,ra_blank,chl,phaeo,iode_quality_flag
en627,11|12,11|11-12,c,152,>5&<200,0.324655349,2.154519162,191,97.7,2.095,188.905,95.605,2.231316024,0.40842421,1
en627,11|12,11|11-12,a,152,>20&<200,0.324655349,2.154519162,138,90.8,2.095,135.905,88.705,1.128811537,1.320413478,3
en627,11|12,11|11-12,b,152,>20&<200,0.324655349,2.154519162,152,86.8,2.095,149.905,84.705,1.559290512,0.779490896,1
en627,11|12,11|11-12,c,152,>20&<200,0.324655349,2.154519162,147,85.3,2.095,144.905,83.205,1.475586267,0.821778789,1
en627,18|19,11-12|11-12,a,152,>0&<200,0.324655349,2.154519162,116,64.1,2.44,113.56,61.69,1.240496915,0.462819596,1
en627,18|19,11-12|11-12,b,152,>0&<200,0.324655349,2.154519162,115,62,2.44,112.56,59.59,1.266803964,0.378529655,1
en627,18|19,11-12|11-12,c,152,>0&<200,0.324655349,2.154519162,120,63.5,2.44,117.56,61.09,1.350508209,0.336241762,1
en627,18|19,11-12|11-12,a,152,>10&<200,0.324655349,2.154519162,43.3,23.5,2.44,40.86,21.09,0.472809408,0.109504504,1
en627,18|19,11-12|11-12,b,152,>10&<200,0.324655349,2.154519162,52.7,27.9,2.44,50.26,25.49,0.592386902,0.111414977,1
en627,18|19,11-12|11-12,c,152,>10&<200,0.324655349,2.154519162,54.1,28.2,2.44,51.66,25.79,0.61869395,0.093391199,1
en627,18|19,11-12|11-12,a,152,>5&<200,0.324655349,2.154519162,76.5,40.7,2.44,74.06,38.29,0.855457387,0.20176403,1
en627,18|19,11-12|11-12,b,152,>5&<200,0.324655349,2.154519162,54.8,29.9,2.44,52.36,27.49,0.594778452,0.16424523,1
en627,18|19,11-12|11-12,c,152,>5&<200,0.324655349,2.154519162,43.2,33.7,2.44,40.76,31.29,0.226479772,0.637465335,3
en627,18|19,11-12|11-12,a,152,>20&<200,0.324655349,2.154519162,51,28.7,2.44,48.56,26.29,0.532598155,0.193292444,1
en627,18|19,11-12|11-12,b,152,>20&<200,0.324655349,2.154519162,51.8,26.8,2.44,49.36,24.39,0.597170001,0.076259885,1
en627,18|19,11-12|11-12,c,152,>20&<200,0.324655349,2.154519162,48.2,25.6,2.44,45.76,23.19,0.539772805,0.100524,1
en627,23|24,10-11|11-12,a,152,>0&<200,0.324655349,2.154519162,229,124,2.425,226.575,121.555,2.511605669,0.844637459,1
en627,23|24,10-11|11-12,b,152,>0&<200,0.324655349,2.154519162,215,120,2.425,212.575,117.555,2.272450682,0.97334884,1
en627,23|24,10-11|11-12,c,152,>0&<200,0.324655349,2.154519162,179,119,2.425,176.575,116.555,1.435408229,1.782780391,1
en627,23|24,10-11|11-12,a,152,>10&<200,0.324655349,2.154519162,124,62.9,2.425,121.575,60.455,1.461715278,0.20750177,1
en627,23|24,10-11|11-12,b,152,>10&<200,0.324655349,2.154519162,118,57.4,2.425,115.575,54.955,1.449757528,0.067599562,1
en627,23|24,10-11|11-12,c,152,>10&<200,0.324655349,2.154519162,110,49.2,2.425,107.575,46.755,1.454540628,-0.16359293,3
en627,23|24,10-11|11-12,a,152,>5&<200,0.324655349,2.154519162,88,45.6,2.425,85.575,43.155,1.014495453,0.177053,1
en627,23|24,10-11|11-12,b,152,>5&<200,0.324655349,2.154519162,94.6,49.1,2.425,92.175,46.655,1.088633499,0.199553109,1
en627,23|24,10-11|11-12,c,152,>5&<200,0.324655349,2.154519162,115,57.4,2.425,112.575,54.955,1.378011032,0.139346058,1
en627,23|24,10-11|11-12,a,152,>20&<200,0.324655349,2.154519162,71.9,40.6,2.425,69.475,38.155,0.749033418,0.304460528,1
en627,23|24,10-11|11-12,b,152,>20&<200,0.324655349,2.154519162,97.9,49.1,2.425,95.475,46.655,1.167554644,0.120631964,1
en627,23|24,10-11|11-12,c,152,>20&<200,0.324655349,2.154519162,88.1,42.5,2.425,85.675,40.055,1.091025049,0.01492961,1
en627,30,1-2-3-4,a,152,>0&<200,0.324655349,2.154519162,229,135,2.34,226.66,132.67,2.247817719,1.415320579,1
en627,30,1-2-3-4,b,152,>0&<200,0.324655349,2.154519162,242,128,2.34,239.66,125.67,2.726127692,0.743734296,1
en627,30,1-2-3-4,c,152,>0&<200,0.324655349,2.154519162,230,137,2.34,227.66,134.67,2.22390222,1.49445788,1
en627,30,1-2-3-4,a,152,>0,0.324655349,2.154519162,236,142,2.34,233.66,139.67,2.247817719,1.608596889,1
en627,30,1-2-3-4,b,152,>0,0.324655349,2.154519162,231,126,2.34,228.66,123.67,2.510888204,0.903751981,1
en627,30,1-2-3-4,c,152,>0,0.324655349,2.154519162,207,122,2.34,204.66,119.67,2.032578231,1.271618348,1
en627,25,5-6,a,152,>0&<200,0.324655349,2.154519162,197,127,2.39,194.61,124.695,1.672052088,1.77088927,1
en627,25,5-6,b,152,>0&<200,0.324655349,2.154519162,168,118,2.39,165.61,115.695,1.193742115,2.00070113,1
en627,25,5-6,c,152,>0&<200,0.324655349,2.154519162,177,108,2.39,174.61,105.695,1.64813659,1.270197641,1
en627,25,5-6,a,152,>10&<200,0.324655349,2.154519162,95.7,49.6,2.39,93.31,47.295,1.100471671,0.205385914,1
en627,25,5-6,b,152,>10&<200,0.324655349,2.154519162,99.9,50.9,2.39,97.51,48.595,1.169826617,0.17192514,1
en627,25,5-6,c,152,>10&<200,0.324655349,2.154519162,112,57.3,2.39,109.61,54.995,1.306144959,0.212316567,1
en627,25,9-10-11,a,152,>0&<200,0.324655349,2.154519162,207,119,2.39,204.61,116.695,2.102531064,1.119523082,1
en627,25,9-10-11,b,152,>0&<200,0.324655349,2.154519162,190,136,2.39,187.61,133.695,1.28940411,2.402035361,1
en627,25,9-10-11,c,152,>0&<200,0.324655349,2.154519162,245,138,2.39,242.61,135.695,2.556925539,1.189735736,1
en627,25,9-10-11,a,152,>10&<200,0.324655349,2.154519162,100,51.8,2.39,97.61,49.495,1.150694218,0.21590735,1
en627,25,9-10-11,b,152,>10&<200,0.324655349,2.154519162,121,61.3,2.39,118.61,58.995,1.425722452,0.20318268,1
en627,25,9-10-11,c,152,>10&<200,0.324655349,2.154519162,139,68.8,2.39,136.61,66.495,1.676835188,0.159151705,1
en627,25,9-10-11,a,152,>5&<200,0.324655349,2.154519162,151,76.2,2.39,148.61,73.895,1.786846482,0.253461082,1
en627,25,9-10-11,b,152,>5&<200,0.324655349,2.154519162,117,59.8,2.39,114.61,57.495,1.365933706,0.221555074,1
en627,25,9-10-11,c,152,>5&<200,0.324655349,2.154519162,143,71.7,2.39,140.61,69.395,1.703142237,0.212916271,1
en627,25,9-10-11,a,152,>20&<200,0.324655349,2.154519162,108,55.3,2.39,105.61,52.995,1.258313962,0.204925761,1
en627,25,9-10-11,b,152,>20&<200,0.324655349,2.154519162,97.5,49,2.39,95.11,46.695,1.157868867,0.131422177,1
en627,25,9-10-11,c,152,>20&<200,0.324655349,2.154519162,134,66.7,2.39,131.61,64.395,1.607480242,0.170523758,1
en627,25,1-2,a,152,>0&<200,0.324655349,2.154519162,142,86.4,2.39,139.61,84.095,1.327668908,0.994269851,1
en627,25,1-2,b,152,>0&<200,0.324655349,2.154519162,114,71.7,2.39,111.61,69.395,1.009592776,0.906465732,1
en627,25,1-2,c,152,>0&<200,0.324655349,2.154519162,135,81.1,2.39,132.61,78.795,1.28701256,0.888588421,1
en627,25,1-2,a,152,>10&<200,0.324655349,2.154519162,91.6,46.6,2.39,89.21,44.295,1.074164622,0.148860258,1
en627,25,1-2,b,152,>10&<200,0.324655349,2.154519162,104,52.1,2.39,101.61,49.795,1.239181563,0.135703276,1
en627,25,1-2,c,152,>10&<200,0.324655349,2.154519162,85.5,43.5,2.39,83.11,41.195,1.002418126,0.13501296,1
en644,1,20-21-22,a,152,>0&<200,0.79591678,2.182214006,25.4,15.2,0.806,24.594,14.394,0.591529943,0.395326908,1
en644,1,20-21-22,b,152,>0&<200,0.79591678,2.182214006,24.7,14.6,0.806,23.894,13.794,0.58573063,0.359990045,1
en644,1,20-21-22,c,152,>0&<200,0.79591678,2.182214006,25.8,15.7,0.806,24.994,14.894,0.58573063,0.435406367,1
en644,1,20-21-22,a,152,>10&<200,0.79591678,2.182214006,7.98,4.41,0.806,7.174,3.604,0.20703548,0.040055814,1
en644,1,20-21-22,b,152,>10&<200,0.79591678,2.182214006,7.54,4.82,0.806,6.734,4.014,0.157741318,0.117459696,1
en644,1,20-21-22,c,152,>10&<200,0.79591678,2.182214006,8.4,4.75,0.806,7.594,3.944,0.211674931,0.058726863,1
en644,2,18-19-20,a,152,>0&<200,0.79591678,2.182214006,28.7,16.1,0.833,27.867,15.267,0.73071346,0.315996527,1
en644,2,18-19-20,b,152,>0&<200,0.79591678,2.182214006,26.1,15.8,0.833,25.267,14.967,0.597329257,0.428812642,1
en644,2,18-19-20,c,152,>0&<200,0.79591678,2.182214006,26.9,16.3,0.833,26.067,15.467,0.614727196,0.445694849,1
en644,2,18-19-20,a,152,>10&<200,0.79591678,2.182214006,7.1,4.08,0.833,6.267,3.247,0.175139258,0.047476012,1
en644,2,18-19-20,b,152,>10&<200,0.79591678,2.182214006,6.79,3.9,0.833,5.957,3.067,0.167600151,0.042674267,1
en644,2,18-19-20,c,152,>10&<200,0.79591678,2.182214006,6.82,3.89,0.833,5.987,3.057,0.169919876,0.039668938,1
en644,23,21-22-23,a,152,>0&<200,0.79591678,2.182214006,152,86.7,0.807,151.193,85.893,3.786951501,2.101897708,1
en644,23,21-22-23,b,152,>0&<200,0.79591678,2.182214006,142,84,0.807,141.193,83.193,3.363601639,2.34013478,1
en644,23,21-22-23,c,152,>0&<200,0.79591678,2.182214006,151,89,0.807,150.193,88.193,3.595574166,2.450963716,1
en644,23,21-22-23,a,152,>10&<200,0.79591678,2.182214006,113,64.9,0.807,112.193,64.093,2.789469635,1.604765196,1
en644,23,21-22-23,b,152,>10&<200,0.79591678,2.182214006,113,63.6,0.807,112.193,62.793,2.864860707,1.440245744,1
en644,23,21-22-23,c,152,>10&<200,0.79591678,2.182214006,113,64.4,0.807,112.193,63.593,2.818466201,1.541488484,1
en644,7,20-21-22,a,152,>0&<200,0.79591678,2.182214006,54.6,30,0.8435,53.7565,29.1565,1.42663104,0.57234713,1
en644,7,20-21-22,b,152,>0&<200,0.79591678,2.182214006,52.6,29.1,0.8435,51.7565,28.2565,1.362838595,0.574435312,1
en644,7,20-21-22,c,152,>0&<200,0.79591678,2.182214006,55.4,29.9,0.8435,54.5565,29.0565,1.478824859,0.513297282,1
en644,7,20-21-22,a,152,>10&<200,0.79591678,2.182214006,39.6,20.2,0.8435,38.7565,19.3565,1.125066755,0.202020548,1
en644,7,20-21-22,b,152,>10&<200,0.79591678,2.182214006,40.5,21.2,0.8435,39.6565,20.3565,1.119267442,0.276380153,1
en644,7,20-21-22,c,152,>10&<200,0.79591678,2.182214006,32.7,19.4,0.8435,31.8565,18.5565,0.771308652,0.500930417,1
en644,9,21-22-23,a,152,>0&<200,0.79591678,2.182214006,15.6,9.72,0.7725,14.8275,8.9475,0.340999614,0.272443603,1
en644,9,21-22-23,b,152,>0&<200,0.79591678,2.182214006,14.8,8.68,0.7725,14.0275,7.9075,0.354917966,0.187222547,1
en644,9,21-22-23,c,152,>0&<200,0.79591678,2.182214006,14.3,8.81,0.7725,13.5275,8.0375,0.318382293,0.232671058,1
en644,9,21-22-23,a,152,>10&<200,0.79591678,2.182214006,9.23,4.99,0.7725,8.4575,4.2175,0.245890878,0.043262155,1
en644,9,21-22-23,b,152,>10&<200,0.79591678,2.182214006,8.41,5.12,0.7725,7.6375,4.3475,0.190797403,0.107268469,1
en644,9,21-22-23,c,152,>10&<200,0.79591678,2.182214006,8.17,4.87,0.7725,7.3975,4.0975,0.191377335,0.089548464,1
en644,13,21-22-23,a,152,>0&<200,0.79591678,2.182214006,8.85,5.95,0.792,8.058,5.158,0.168180082,0.185453907,1
en644,13,21-22-23,b,152,>0&<200,0.79591678,2.182214006,6.71,4.26,0.792,5.918,3.468,0.142083173,0.095683922,1
en644,13,21-22-23,c,152,>0&<200,0.79591678,2.182214006,7.13,5.33,0.792,6.338,4.538,0.104387637,0.206738971,1
en644,13,21-22-23,a,152,>10&<200,0.79591678,2.182214006,1.38,1.1,0.792,0.588,0.308,0.016238077,0.004878493,1
en644,13,21-22-23,b,152,>10&<200,0.79591678,2.182214006,1.51,1.21,0.792,0.718,0.418,0.01739794,0.011260263,1
en644,13,21-22-23,c,152,>10&<200,0.79591678,2.182214006,1.41,1.15,0.792,0.618,0.358,0.015078214,0.00946637,1
en644,17,8-12,a,152,>0&<200,0.79591678,2.182214006,29.1,23.3,0.844,28.256,22.456,0.336360164,1.203229766,3
en644,17,8-12,b,152,>0&<200,0.79591678,2.182214006,37.9,23,0.844,37.056,22.156,0.864097663,0.654924179,1
en644,17,8-12,c,152,>0&<200,0.79591678,2.182214006,30.6,21.9,0.844,29.756,21.056,0.504540246,0.939065274,1
en644,17,8-12,a,152,>10&<200,0.79591678,2.182214006,3,2.34,0.844,2.156,1.496,0.038275467,0.064290731,1
en644,17,8-12,b,152,>10&<200,0.79591678,2.182214006,2.79,2.39,0.844,1.946,1.546,0.023197253,0.08279696,3
en644,17,8-12,c,152,>10&<200,0.79591678,2.182214006,5.12,3.83,0.844,4.276,2.986,0.07481114,0.129909894,1
en644,17,15-17,a,152,>0&<200,0.79591678,2.182214006,7.07,4.82,0.844,6.226,3.976,0.130484546,0.142111177,1
en644,17,15-17,b,152,>0&<200,0.79591678,2.182214006,7.61,4.64,0.844,6.766,3.796,0.172239601,0.088015269,1
en644,17,15-17,c,152,>0&<200,0.79591678,2.182214006,7.48,5.01,0.844,6.636,4.166,0.143243035,0.142379143,1
en644,17,15-17,a,152,>10&<200,0.79591678,2.182214006,1.37,1.07,0.844,0.526,0.226,0.01739794,-0.001903313,3
en644,17,15-17,b,152,>10&<200,0.79591678,2.182214006,1.5,1.18,0.844,0.656,0.336,0.018557802,0.004478456,1
en644,17,15-17,c,152,>10&<200,0.79591678,2.182214006,1.35,1.15,0.844,0.506,0.306,0.011598626,0.009380823,1
en644,17,19-20-21,a,152,>0&<200,0.79591678,2.182214006,5.69,3.85,0.844,4.846,3.006,0.106707362,0.099384877,1
en644,17,19-20-21,b,152,>0&<200,0.79591678,2.182214006,5.71,3.71,0.844,4.866,2.866,0.115986263,0.080507535,1
en644,17,19-20-21,c,152,>0&<200,0.79591678,2.182214006,6.07,4.18,0.844,5.226,3.336,0.109607019,0.119110117,1
en644,17,19-20-21,a,152,>10&<200,0.79591678,2.182214006,1.47,1.19,0.844,0.626,0.346,0.016238077,0.007483784,1
en644,17,19-20-21,b,152,>10&<200,0.79591678,2.182214006,2.09,1.59,0.844,1.246,0.746,0.028996566,0.022149412,1
en644,17,19-20-21,c,152,>10&<200,0.79591678,2.182214006,1.5,1.17,0.844,0.656,0.326,0.019137733,0.003212922,1
en649,1,16-17-18,a,152,>0&<200,0.33182747,2.18953457,368,204,2.13,365.87,201.96,3.951847592,1.840267285,1
en649,1,16-17-18,b,152,>0&<200,0.33182747,2.18953457,348,186,2.13,345.87,183.96,3.903627867,1.372255738,1
en649,1,16-17-18,c,152,>0&<200,0.33182747,2.18953457,350,199,2.13,347.87,196.96,3.638419377,2.010297924,1
en649,1,16-17-18,a,152,>10&<200,0.33182747,2.18953457,247,141,2.13,244.87,138.96,2.553475557,1.431829867,1
en649,1,16-17-18,b,152,>10&<200,0.33182747,2.18953457,236,125,2.13,233.87,122.96,2.67402487,0.852408311,1
en649,1,16-17-18,c,152,>10&<200,0.33182747,2.18953457,219,123,2.13,216.87,120.96,2.31237693,1.156697221,1
en649,5,16-17-18,a,152,>0&<200,0.33182747,2.18953457,221,110,2.22,218.78,107.885,2.673663222,0.420426269,1
en649,5,16-17-18,b,152,>0&<200,0.33182747,2.18953457,217,126,2.22,214.78,123.885,2.191465968,1.361495764,1
en649,5,16-17-18,c,152,>0&<200,0.33182747,2.18953457,207,127,2.22,204.78,124.885,1.926257479,1.655383769,1
en649,5,16-17-18,a,152,>10&<200,0.33182747,2.18953457,101,54.7,2.22,98.78,52.585,1.113755107,0.394357197,1
en649,5,16-17-18,b,152,>10&<200,0.33182747,2.18953457,102,60.5,2.22,99.78,58.385,0.998027766,0.676425726,1
en649,5,16-17-18,c,152,>10&<200,0.33182747,2.18953457,94.2,50.1,2.22,91.98,47.985,1.060713409,0.315473125,1
en649,21,22-23-24,a,152,>0&<200,0.33182747,2.18953457,150,85.4,1.99,148.01,83.52,1.554845044,0.84046806,1
en649,21,22-23-24,b,152,>0&<200,0.33182747,2.18953457,154,95.9,1.99,152.01,94.02,1.398130937,1.298317076,1
en649,21,22-23-24,c,152,>0&<200,0.33182747,2.18953457,158,86.4,1.99,156.01,84.52,1.723614083,0.700378536,1
en649,21,22-23-24,a,152,>10&<200,0.33182747,2.18953457,78.4,57.9,1.99,76.41,56.02,0.4916001,1.115026338,1
en649,21,22-23-24,b,152,>10&<200,0.33182747,2.18953457,99.7,59.7,1.99,97.71,57.82,0.961742422,0.696507143,1
en649,21,22-23-24,c,152,>10&<200,0.33182747,2.18953457,84.7,57.4,1.99,82.71,55.52,0.655547166,0.936739514,1
en649,19,22-23-24,a,152,>0&<200,0.33182747,2.18953457,123,98.3,2.005,120.995,96.345,0.594308115,2.168819771,1
en649,19,22-23-24,b,152,>0&<200,0.33182747,2.18953457,75.2,74.8,2.005,73.195,72.845,0.008438452,2.080720828,3
en649,19,22-23-24,c,152,>0&<200,0.33182747,2.18953457,131,81.4,2.005,128.995,79.445,1.194643696,1.083800384,1
en649,19,22-23-24,a,152,>10&<200,0.33182747,2.18953457,36.3,19,2.005,34.295,17.045,0.415895131,0.072947204,1
en649,19,22-23-24,b,152,>10&<200,0.33182747,2.18953457,40.9,21.9,2.005,38.895,19.945,0.456881898,0.115131032,1
en649,19,22-23-24,c,152,>10&<200,0.33182747,2.18953457,27.5,14.5,2.005,25.495,12.545,0.312222722,0.047561796,1
en649,8,21-22-23,a,152,>0&<200,0.33182747,2.18953457,112,83.6,2.31,109.69,81.305,0.684358452,1.647429526,1
en649,8,21-22-23,b,152,>0&<200,0.33182747,2.18953457,105,79.9,2.31,102.69,77.605,0.604795905,1.620877867,1
en649,8,21-22-23,c,152,>0&<200,0.33182747,2.18953457,109,71.7,2.31,106.69,69.405,0.89893623,1.091565518,1
en649,8,21-22-23,a,152,>10&<200,0.33182747,2.18953457,39.5,22,2.31,37.19,19.705,0.421560949,0.143568897,1
en649,8,21-22-23,b,152,>10&<200,0.33182747,2.18953457,38.7,21.1,2.31,36.39,18.805,0.423971935,0.115346347,1
en649,8,21-22-23,c,152,>10&<200,0.33182747,2.18953457,29.4,21,2.31,27.09,18.705,0.202161199,0.334289132,1
en649,12,22-23-24,a,152,>0&<200,0.33182747,2.18953457,46.5,29.2,1.955,44.545,27.165,0.419029413,0.360049615,1
en649,12,22-23-24,b,152,>0&<200,0.33182747,2.18953457,51.7,33.3,1.955,49.745,31.265,0.445550262,0.451114778,1
en649,12,22-23-24,c,152,>0&<200,0.33182747,2.18953457,51.5,37.3,1.955,49.545,35.265,0.344288839,0.667094262,1
en649,12,22-23-24,a,152,>10&<200,0.33182747,2.18953457,8.27,7.11,1.955,6.315,5.075,0.02989623,0.11565231,3
en649,12,22-23-24,b,152,>10&<200,0.33182747,2.18953457,10.1,6.51,1.955,8.145,4.475,0.088483196,0.039857634,1
en649,12,22-23-24,c,152,>10&<200,0.33182747,2.18953457,7.8,5.62,1.955,5.845,3.585,0.05448829,0.048327772,1
en649,16,9-10,a,152,>0&<200,0.33182747,2.18953457,44.9,30.2,1.955,42.945,28.34,0.352124544,0.460652915,1
en649,16,9-10,b,152,>0&<200,0.33182747,2.18953457,44,34,1.955,42.045,32.14,0.23880819,0.682951427,1
en649,16,9-10,c,152,>0&<200,0.33182747,2.18953457,43.3,30.2,1.955,41.345,28.34,0.313548764,0.499228695,1
en649,16,9-10,a,152,>10&<200,0.33182747,2.18953457,8.56,5.63,1.955,6.605,3.77,0.068351461,0.039770311,1
en649,16,9-10,b,152,>10&<200,0.33182747,2.18953457,8.51,5.84,1.955,6.555,3.98,0.062082896,0.052061574,1
en649,16,9-10,c,152,>10&<200,0.33182747,2.18953457,7.71,5.2,1.955,5.755,3.34,0.058225318,0.037564262,1
en649,16,14-15,a,152,>0&<200,0.33182747,2.18953457,53.5,31.7,1.955,51.545,29.84,0.52330457,0.332492162,1
en649,16,14-15,b,152,>0&<200,0.33182747,2.18953457,54.3,34.2,1.955,52.345,32.34,0.482317803,0.445177717,1
en649,16,14-15,c,152,>0&<200,0.33182747,2.18953457,55.4,34,1.955,53.445,32.14,0.513660624,0.408098992,1
en649,16,14-15,a,152,>10&<200,0.33182747,2.18953457,9.75,6.22,1.955,7.795,4.36,0.082817378,0.042225308,1
en649,16,14-15,b,152,>10&<200,0.33182747,2.18953457,9.07,6.16,1.955,7.115,4.3,0.067869263,0.055452652,1
en649,16,14-15,c,152,>10&<200,0.33182747,2.18953457,8.51,5.3,1.955,6.555,3.44,0.075102222,0.02355531,1
en649,16,22-23-24,a,152,>0&<200,0.33182747,2.18953457,101,64.3,1.955,99.045,62.44,0.882541523,0.908207402,1
en649,16,22-23-24,b,152,>0&<200,0.33182747,2.18953457,105,62.3,1.955,103.045,60.44,1.0272007,0.706189195,1
en649,16,22-23-24,c,152,>0&<200,0.33182747,2.18953457,106,64.6,1.955,104.045,62.74,0.995857878,0.803494902,1
en649,16,22-23-24,a,152,>10&<200,0.33182747,2.18953457,15.6,10.8,1.955,13.645,8.94,0.113436904,0.142957961,1
en649,16,22-23-24,b,152,>10&<200,0.33182747,2.18953457,20.2,11.5,1.955,18.245,9.64,0.207465368,0.069005158,1
en649,16,22-23-24,c,152,>10&<200,0.33182747,2.18953457,16,9.73,1.955,14.045,7.87,0.148878402,0.076829382,1
en655,1,19-20-21,a,152,>0&<200,0.837516556,2.152385698,20.2,11.4,0.768,19.432,10.6315,0.543413782,0.213098015,1
en655,1,19-20-21,b,152,>0&<200,0.837516556,2.152385698,20,11.7,0.768,19.232,10.9315,0.512539753,0.265319317,1
en655,1,19-20-21,c,152,>0&<200,0.837516556,2.152385698,18.1,11.7,0.768,17.332,10.9315,0.395218443,0.382640627,1
en655,1,19-20-21,a,152,>10&<200,0.837516556,2.152385698,3.5,2.15,0.768,2.732,1.3815,0.083390752,0.014913443,1
en655,1,19-20-21,b,152,>10&<200,0.837516556,2.152385698,3.46,2.05,0.768,2.692,1.2815,0.087095635,0.004092802,1
en655,1,19-20-21,c,152,>10&<200,0.837516556,2.152385698,3.51,2.09,0.768,2.742,1.3215,0.087713116,0.006321624,1
en655,2,18-19-20,a,152,>0&<200,0.837516556,2.152385698,21.1,10.5,0.784,20.316,9.747,0.652615222,0.040957697,1
en655,2,18-19-20,b,152,>0&<200,0.837516556,2.152385698,20,10.5,0.784,19.216,9.747,0.584692358,0.10888056,1
en655,2,18-19-20,c,152,>0&<200,0.837516556,2.152385698,21,10.7,0.784,20.216,9.947,0.634090804,0.07371363,1
en655,2,18-19-20,a,152,>10&<200,0.837516556,2.152385698,2.39,1.63,0.784,1.606,0.877,0.045014334,0.017390862,1
en655,2,18-19-20,b,152,>10&<200,0.837516556,2.152385698,2.49,1.87,0.784,1.706,1.117,0.036369606,0.043113409,1
en655,2,18-19-20,c,152,>10&<200,0.837516556,2.152385698,2.4,1.62,0.784,1.616,0.867,0.046249295,0.015444325,1
en655,7,21-22-23,a,152,>0&<200,0.837516556,2.152385698,19.8,13.1,0.7835,19.0165,12.322,0.413372372,0.463431311,1
en655,7,21-22-23,b,152,>0&<200,0.837516556,2.152385698,22.3,14.6,0.7835,21.5165,13.822,0.47512043,0.508419621,1
en655,7,21-22-23,c,152,>0&<200,0.837516556,2.152385698,18.4,13.7,0.7835,17.6165,12.922,0.289876257,0.629621973,1
en655,7,21-22-23,a,152,>10&<200,0.837516556,2.152385698,4.37,3.33,0.7835,3.5865,2.552,0.063878366,0.117715775,1
